public_building_id,SHAP_Projected_Area,SHAP_Height,SHAP_Plot_Ratio,SHAP_Effective_Age,SHAP_Mean_Age_Score,SHAP_Pop_Density,SHAP_Price,SHAP_Fee,SHAP_EUI,base_value
SHB_cbdd007bc7703d50,0.1600364,-0.28454745,-0.033749927,-0.13864395,-0.6676627,0.26753485,0.004129298,-0.16775186,0.109811105,-3.9755917
SHB_f5687a3926aa7bbd,-2.3801935,-0.17899136,-0.16062345,-0.2044102,-0.181471,-0.23797135,0.02117169,0.23860101,-0.36801633,-3.9755917
SHB_8da09e871b4969e9,0.03230017,-0.10728679,-0.17530648,0.006624751,-0.027780028,0.14834887,-0.29026976,-0.20484382,-0.25729096,-3.9755917
SHB_af7ded1465ebc587,-1.062532,0.73876476,-0.059418768,-0.13234068,-0.841273,-0.19122435,0.579378,0.009591993,0.11800085,-3.9755917
SHB_472a7f3502c2b415,0.14414047,-0.16956529,0.13228066,-0.06269828,-0.1657385,-0.20256674,-0.083942905,0.0873249,0.06366184,-3.9755917
SHB_555a9a813f6eadf3,0.10111331,-0.15105006,-0.053508088,0.03872675,0.035126906,-0.39208832,-0.21148162,0.03326445,-0.3579049,-3.9755917
SHB_0d47cf8f830f8e2a,-0.06061287,0.006246584,-0.11891094,-0.18750192,-0.89934784,0.4129366,0.10931909,-0.016284395,-0.05094535,-3.9755917
SHB_d508bf74e29318a8,0.06708331,-0.1087191,0.048964072,0.08544011,-0.048703965,0.0137690045,0.18795359,-0.042668268,0.049356624,-3.9755917
SHB_fadc7ef0ed6779af,0.09983453,-0.054852653,-0.01332539,0.05882331,-0.6223341,-0.32328567,-0.94001937,-0.05632888,0.034355067,-3.9755917
SHB_b8fc820d19fc87ae,-2.3068554,-0.24915275,-0.12134014,-0.20718217,-1.0396011,0.084748365,0.029400136,0.13800523,-0.27058548,-3.9755917
SHB_90be3ab24fb26318,-1.2781981,-0.13381004,0.043798324,-0.09309697,-0.37220365,0.03921323,-0.09331546,-0.20672432,-0.050667148,-3.9755917
SHB_0b12b833653db208,-1.8297362,-0.31712827,-0.23558328,-0.16434757,-0.94283223,-0.36436015,-0.22027336,-0.111497946,-0.22671759,-3.9755917
SHB_051a6cb0b839e07b,-2.0438714,-0.1920036,-0.33248958,-0.43804538,-0.312055,0.03127796,-0.05733494,-0.09133146,-0.17489214,-3.9755917
SHB_a9cd6671b5bf8dd8,-2.358954,-0.11400115,-0.11523976,-0.10683561,-0.24691568,-0.23556857,-0.17947939,0.080869935,0.08064397,-3.9755917
SHB_7d419601704dd25f,0.2325279,-0.1548926,-0.11384422,-0.015935866,-0.37700656,-0.4037133,-0.27089563,0.035291046,-0.20682804,-3.9755917
SHB_118662f6806298fb,-2.0752642,-0.13759027,0.054138582,-0.12525225,-0.2126008,-0.001453774,0.031056559,-0.034500647,0.09987813,-3.9755917
SHB_ed265e4cc732bd53,0.25847563,-0.15418899,-0.3802502,-0.024596786,-0.05175082,0.0038927924,0.21017909,0.020716961,-0.010009916,-3.9755917
SHB_3f1b669d6dd8ec19,-1.7420421,-0.21485542,-0.022923848,-0.31307957,-0.98933786,-0.2832176,0.24432924,-0.01598132,-0.20415777,-3.9755917
