precision,recall,threshold
0.019375892310830103,0.9947643979057592,0.00027956333360634744
0.019377868434472208,0.9947643979057592,0.0002796822227537632
0.01937984496124031,0.9947643979057592,0.0002797691849991679
0.01938182189125778,0.9947643979057592,0.00027980838785879314
0.01938379922464803,0.9947643979057592,0.00028050312539562583
0.019385776961534536,0.9947643979057592,0.0002813736500684172
0.019387755102040816,0.9947643979057592,0.0002827273274306208
0.019389733646290437,0.9947643979057592,0.0002843538823071867
0.019391712594407022,0.9947643979057592,0.0002845852286554873
0.01939369194651424,0.9947643979057592,0.000284750247374177
0.01939567170273581,0.9947643979057592,0.00028613462927751243
0.019397651863195507,0.9947643979057592,0.000286427210085094
0.019399632428017153,0.9947643979057592,0.0002869520103558898
0.01940161339732462,0.9947643979057592,0.00028741281130351126
0.01940359477124183,0.9947643979057592,0.00028755643870681524
0.019405576549892757,0.9947643979057592,0.00028821625164709985
0.01940954132189192,0.9947643979057592,0.0002883424167521298
0.019411524315488354,0.9947643979057592,0.00028879387537017465
0.019413507714314906,0.9947643979057592,0.00029011437436565757
0.01941549151849581,0.9947643979057592,0.00029034403269179165
0.019317252657399836,0.9895287958115183,0.0002906503505073488
0.019319227230910764,0.9895287958115183,0.0002922330459114164
0.019321202208137395,0.9895287958115183,0.00029265935881994665
0.019323177589203558,0.9895287958115183,0.00029275647830218077
0.01932515337423313,0.9895287958115183,0.00029318383894860744
0.019327129563350035,0.9895287958115183,0.0002944808511529118
0.019329106156678256,0.9895287958115183,0.0002966424508485943
0.019331083154341823,0.9895287958115183,0.0002967298496514559
0.01933306055646481,0.9895287958115183,0.0002967878244817257
0.019335038363171356,0.9895287958115183,0.0002976875694002956
0.019337016574585635,0.9895287958115183,0.0002979931014124304
0.019338995190831883,0.9895287958115183,0.0002981698780786246
0.019340974212034383,0.9895287958115183,0.0002981965953949839
0.01934295363831747,0.9895287958115183,0.0002984608290717006
0.019344933469805526,0.9895287958115183,0.0002990139473695308
0.01934691370662299,0.9895287958115183,0.0002991605142597109
0.01934889434889435,0.9895287958115183,0.00029927119612693787
0.019350875396744138,0.9895287958115183,0.0002996426192112267
0.01935285685029695,0.9895287958115183,0.0003005670732818544
0.019356820975010243,0.9895287958115183,0.00030066908220760524
0.019358803646420158,0.9895287958115183,0.0003007189661730081
0.01936078672403196,0.9895287958115183,0.00030108389910310507
0.019362770207970496,0.9895287958115183,0.00030159411835484207
0.019364754098360654,0.9895287958115183,0.000301701104035601
0.01936673839532739,0.9895287958115183,0.0003018627758137882
0.019368723098995694,0.9895287958115183,0.0003019612340722233
0.019370708209490623,0.9895287958115183,0.0003022362943738699
0.01937269372693727,0.9895287958115183,0.00030251446878537536
0.01937467965146079,0.9895287958115183,0.0003026266931556165
0.019376665983186384,0.9895287958115183,0.0003030297521036118
0.01937865272223931,0.9895287958115183,0.0003033543471246958
0.019380639868744873,0.9895287958115183,0.0003052939136978239
0.019384615384615386,0.9895287958115183,0.0003060238959733397
0.019386603754231204,0.9895287958115183,0.00030608955421485007
0.019388592531801394,0.9895287958115183,0.00030617244192399085
0.019390581717451522,0.9895287958115183,0.00030645073275081813
0.019392571311307203,0.9895287958115183,0.00030661848722957075
0.0193945613134941,0.9895287958115183,0.00030670242267660797
0.01939655172413793,0.9895287958115183,0.0003072576073464006
0.019398542543364466,0.9895287958115183,0.0003079414600506425
0.01940053377129953,0.9895287958115183,0.00030813648481853306
0.019402525408068985,0.9895287958115183,0.0003089304082095623
0.01940451745379877,0.9895287958115183,0.00030918995616957545
0.01940650990861485,0.9895287958115183,0.0003107458760496229
0.019408502772643253,0.9895287958115183,0.00031097614555619657
0.019410496046010063,0.9895287958115183,0.00031103368382900953
0.019412489728841412,0.9895287958115183,0.00031115912133827806
0.01941448382126348,0.9895287958115183,0.00031125257373787463
0.019416478323402507,0.9895287958115183,0.00031130333081819117
0.019418473235384773,0.9895287958115183,0.00031193316681310534
0.01942046855733662,0.9895287958115183,0.0003124769718851894
0.01942246428938444,0.9895287958115183,0.00031254609348252416
0.019424460431654675,0.9895287958115183,0.00031281437259167433
0.01942645698427382,0.9895287958115183,0.00031367805786430836
0.01942845394736842,0.9895287958115183,0.0003136876330245286
0.019430451321065075,0.9895287958115183,0.00031405987101607025
0.019432449105490437,0.9895287958115183,0.0003144259680993855
0.019434447300771207,0.9895287958115183,0.00031478021992370486
0.019436445907034142,0.9895287958115183,0.0003149831318296492
0.019438444924406047,0.9895287958115183,0.0003150786506012082
0.019440444353013783,0.9895287958115183,0.000315413431962952
0.01944244419298426,0.9895287958115183,0.0003154435253236443
0.019444444444444445,0.9895287958115183,0.0003154925361741334
0.01944644510752135,0.9895287958115183,0.00031575493630953133
0.019448446182342045,0.9895287958115183,0.00031581061193719506
