recall,precision
0.997275204359673,0.0011531881240527946
0.997275204359673,0.0011531953909994046
0.997275204359673,0.0011531990245070547
0.997275204359673,0.0011532280933925702
0.997275204359673,0.001153231727106302
0.997275204359673,0.001153235360842933
0.997275204359673,0.0011532426283848932
0.997275204359673,0.001153249896018452
0.997275204359673,0.0011532607976405419
0.997275204359673,0.0011532644315603731
0.997275204359673,0.0011532680655031054
0.997275204359673,0.0011532716994687388
0.997275204359673,0.0011532753334572738
0.997275204359673,0.001153286235560289
0.997275204359673,0.001153289869640432
0.997275204359673,0.0011532935037434772
0.997275204359673,0.0011532971378694253
0.997275204359673,0.0011533007720182762
0.997275204359673,0.0011533044061900306
0.997275204359673,0.001153308040384688
0.997275204359673,0.0011533153088427142
0.997275204359673,0.0011533189431060832
0.997275204359673,0.0011533262117015342
0.997275204359673,0.0011533298460336167
0.997275204359673,0.0011533407491672943
0.997275204359673,0.0011533443835909977
0.997275204359673,0.0011533516525071218
0.997275204359673,0.001153362556053105
0.997275204359673,0.0011533661906142462
0.997275204359673,0.0011533734598052502
0.997275204359673,0.0011533952679280482
0.997275204359673,0.0011533989026953609
0.997275204359673,0.0011534061722987133
0.997275204359673,0.0011534170768755633
0.997275204359673,0.0011534207117803333
0.997275204359673,0.0011534243467080135
0.997275204359673,0.0011534316166321057
0.997275204359673,0.0011534388866478419
0.997275204359673,0.001153442521690077
0.997275204359673,0.0011534461567552236
0.997275204359673,0.001153449791843282
0.997275204359673,0.0011534934146871859
0.997275204359673,0.0011535043209137267
0.997275204359673,0.001153507956368404
0.997275204359673,0.0011535115918459968
0.997275204359673,0.0011535188628699297
0.997275204359673,0.0011535224984162704
0.997275204359673,0.0011535406764917235
0.997275204359673,0.001153555219364599
0.997275204359673,0.001153562490938546
0.997275204359673,0.0011535733984713577
0.997275204359673,0.0011535770343614668
0.997275204359673,0.0011535915781511017
0.997275204359673,0.001153595214155811
0.997275204359673,0.001153598850183441
0.997275204359673,0.0011536024862339922
0.997275204359673,0.001153609758403858
0.997275204359673,0.0011536133945231732
0.997275204359673,0.0011536170306654101
0.997275204359673,0.0011536279392296539
0.997275204359673,0.0011536315754635802
0.997275204359673,0.0011536388480002018
0.997275204359673,0.0011536424843028973
0.997275204359673,0.0011536461206285164
0.997275204359673,0.0011536570297429173
0.997275204359673,0.0011536679390636378
0.997275204359673,0.0011536788485906836
0.997275204359673,0.0011536824851455499
0.997275204359673,0.0011536861217233422
0.997275204359673,0.0011536897583240607
0.997275204359673,0.0011536933949477055
0.997275204359673,0.0011536970315942769
0.997275204359673,0.001153700668263775
0.997275204359673,0.0011537043049562002
0.997275204359673,0.0011537115784098324
0.997275204359673,0.0011537261255922303
0.997275204359673,0.0011537297624451505
0.997275204359673,0.0011537333993209995
0.997275204359673,0.001153744310086121
0.997275204359673,0.001153747947053687
0.997275204359673,0.0011537588580939652
0.997275204359673,0.0011537624951532518
0.997275204359673,0.0011537806807936498
0.997275204359673,0.00115378795521033
0.997275204359673,0.001153791592453068
0.997275204359673,0.001153813416391086
0.997275204359673,0.0011538170537943558
0.997275204359673,0.0011538206912205594
0.997275204359673,0.0011538243286696973
0.997275204359673,0.0011538279661417695
0.997275204359673,0.001153835241154718
0.997275204359673,0.0011538425162594065
0.997275204359673,0.001153846153846154
0.997275204359673,0.0011538607044225021
0.997275204359673,0.0011538716175955963
0.997275204359673,0.0011538752553658352
0.997275204359673,0.0011538788931590115
0.997275204359673,0.0011538825309751254
0.997275204359673,0.001153886168814177
0.997275204359673,0.0011538898066761668
0.997275204359673,0.0011538934445610948
0.997275204359673,0.0011539043583535108
0.997275204359673,0.0011539079963301942
0.997275204359673,0.001153911634329817
0.997275204359673,0.0011539152723523793
0.997275204359673,0.0011539225484663235
0.997275204359673,0.0011539261865577057
0.997275204359673,0.0011539298246720285
0.997275204359673,0.001153933462809292
0.997275204359673,0.0011539371009694963
0.997275204359673,0.0011539552921146388
0.997275204359673,0.001153973483833336
0.997275204359673,0.0011539771222459044
0.997275204359673,0.0011539953146529028
0.997275204359673,0.0011540207849863788
0.997275204359673,0.0011540317011877698
0.997275204359673,0.00115403533996746
0.997275204359673,0.0011540426175956815
0.997275204359673,0.0011540462564442132
0.997275204359673,0.0011540498953156926
0.997275204359673,0.0011540535342101197
0.997275204359673,0.001154057173127495
0.997275204359673,0.0011540608120678183
0.997275204359673,0.0011540644510310903
0.997275204359673,0.001154068090017311
0.997275204359673,0.0011540753680585993
0.997275204359673,0.0011540826461916849
0.997275204359673,0.0011540862852926523
0.997275204359673,0.0011540899244165696
0.997275204359673,0.0011541153989266097
0.997275204359673,0.0011541263169180412
0.997275204359673,0.001154129956294423
0.997275204359673,0.0011541408745612846
0.997275204359673,0.0011541517930347255
0.997275204359673,0.0011541554325717799
0.997275204359673,0.001154166351320669
0.997275204359673,0.0011541736306013685
0.997275204359673,0.0011541918292048375
0.997275204359673,0.0011542063885008247
0.997275204359673,0.0011542100283822138
0.997275204359673,0.0011542136682865603
0.997275204359673,0.0011542209481641265
0.997275204359673,0.0011542245881373465
0.997275204359673,0.0011542282281335246
0.997275204359673,0.0011542318681526614
0.997275204359673,0.0011542355081947567
0.997275204359673,0.001154239148259811
0.997275204359673,0.0011542427883478245
0.997275204359673,0.0011542464284587971
0.997275204359673,0.0011542573489294735
0.997275204359673,0.001154260989132286
0.997275204359673,0.0011542646293580586
0.997275204359673,0.001154268269606792
0.997275204359673,0.001154271909878486
0.997275204359673,0.0011542755501731414
0.997275204359673,0.001154279190490758
0.997275204359673,0.001154282830831336
0.997275204359673,0.0011542864711948757
0.997275204359673,0.0011542901115813775
0.997275204359673,0.0011542937519908414
0.997275204359673,0.0011543010328786565
0.997275204359673,0.0011543228760932164
0.997275204359673,0.0011543265167093494
0.997275204359673,0.0011543301573484468
0.997275204359673,0.0011543520016652946
0.997275204359673,0.0011543556424651485
0.997275204359673,0.0011543592832879686
0.997275204359673,0.0011543702058942268
0.997275204359673,0.0011543738468089133
0.997275204359673,0.001154377487746567
0.997275204359673,0.0011543811287071878
0.997275204359673,0.0011543847696907762
0.997275204359673,0.0011543956927793496
0.997275204359673,0.001154406616074639
0.997275204359673,0.0011544138983863438
0.997275204359673,0.0011544175395766505
0.997275204359673,0.0011544248220261733
0.997275204359673,0.00115442846328539
0.997275204359673,0.0011544321045675768
0.997275204359673,0.001154439387200863
0.997275204359673,0.0011544430285519624
0.997275204359673,0.0011544539527430899
0.997275204359673,0.0011544575941860758
0.997275204359673,0.001154461235652034
0.997275204359673,0.0011544648771409645
0.997275204359673,0.0011544685186528677
0.997275204359673,0.0011544721601877436
0.997275204359673,0.0011544758017455927
0.997275204359673,0.0011544794433264148
0.997275204359673,0.0011544830849302106
0.997275204359673,0.0011544867265569799
0.997275204359673,0.0011544903682067231
0.997275204359673,0.0011545012932937986
0.997275204359673,0.0011545486377272426
0.997275204359673,0.0011545595639171746
0.997275204359673,0.0011545668481586866
0.997275204359673,0.0011545704903139107
0.997275204359673,0.001154581416917457
0.997275204359673,0.0011545850591645978
0.997275204359673,0.0011545887014347185
0.997275204359673,0.001154592343727819
0.997275204359673,0.0011545996283829612
0.997275204359673,0.001154603270745003
0.997275204359673,0.0011546069131300259
0.997275204359673,0.0011546105555380296
